sheet_id,kind,label,source_filename,crop_filename,year,method,instrument,crop_w,crop_h,frame_w,frame_h,frame_measured,cells,anchor,west,north,east,south,deg_per_px_x,deg_per_px_y,span_lon_arcmin,span_lat_arcmin
31-XXIV-q,single,KK 083-04-01/085-04-10_002 - 05978 - 001,000_KK 083-04-01-085-04-10_002 - 05978 - 001.jpg,31-XXIV-q.jpg,1932,terrestrial,theodoliet- en bergboussole,4338,4342,4330.2,4312.6,both,"-1,-1",cell,105.0592632,-1.9170781,105.1427467,-2.0009796,0.000019245,0.000019323,5.0090,5.0341
31-XXV-dh,composite,KK 083-04-01/085-04-10_003 - 05978 - 002,001_KK 083-04-01-085-04-10_003 - 05978 - 002.jpg,31-XXV-dh.jpg,1932-1933,aerial,luchtfoto,4356,4504,4340.1,4497.6,both,"-1,0;-1,1",top,105.0592614,-2.0004270,105.1429000,-2.0872634,0.000019201,0.000019280,5.0183,5.2102
32-XXIII-m,single,KK 083-04-01/085-04-10_004 - 05978 - 003,002_KK 083-04-01-085-04-10_004 - 05978 - 003.jpg,32-XXIII-m.jpg,1932,aerial,luchtfoto,4352,4340,4345.5,4324.3,both,"3,-6",cell,105.3925775,-1.5002499,105.4760355,-1.5838856,0.000019177,0.000019271,5.0075,5.0181
32-XXIII-p,single,KK 083-04-01/085-04-10_005 - 05978 - 004,003_KK 083-04-01-085-04-10_005 - 05978 - 004.jpg,32-XXIII-p.jpg,1934,aerial,luchtfoto,4358,4340,4350.7,4327.8,both,"2,-5",cell,105.3092308,-1.5836989,105.3927040,-1.6672669,0.000019154,0.000019255,5.0084,5.0141
32-XXIII-q,single,KK 083-04-01/085-04-10_006 - 05978 - 005,004_KK 083-04-01-085-04-10_006 - 05978 - 005.jpg,32-XXIII-q.jpg,1932-1934,aerial,luchtfoto,4354,4324,4342.5,4320.1,both,"3,-5",cell,105.3925986,-1.5838028,105.4761526,-1.6672113,0.000019190,0.000019290,5.0132,5.0045
32-XXIV-c,single,KK 083-04-01/085-04-10_007 - 05978 - 006,005_KK 083-04-01-085-04-10_007 - 05978 - 006.jpg,32-XXIV-c.jpg,1934,aerial,luchtfoto,4360,4328,4353.3,4323.6,both,"2,-4",cell,105.3092615,-1.6671304,105.3927231,-1.7505483,0.000019143,0.000019274,5.0077,5.0051
32-XXIV-d,single,KK 083-04-01/085-04-10_008 - 05978 - 007,006_KK 083-04-01-085-04-10_008 - 05978 - 007.jpg,32-XXIV-d.jpg,1934,aerial,luchtfoto,4348,4324,4337.7,4317.7,both,"3,-4",cell,105.3926043,-1.6670763,105.4761355,-1.7505312,0.000019211,0.000019300,5.0119,5.0073
32-XXIV-g,single,KK 083-04-01/085-04-10_009 - 05978 - 008,007_KK 083-04-01-085-04-10_009 - 05978 - 008.jpg,32-XXIV-g.jpg,1933,aerial,luchtfoto,4356,4332,4340.9,4323.2,both,"2,-3",cell,105.3092441,-1.7503981,105.3928673,-1.8339011,0.000019197,0.000019276,5.0174,5.0102
32-XXIV-h,single,KK 083-04-01/085-04-10_010 - 05978 - 009,008_KK 083-04-01-085-04-10_010 - 05978 - 009.jpg,32-XXIV-h.jpg,1933,aerial,luchtfoto,4352,4338,4341.9,4323.7,both,"3,-3",cell,105.3925276,-1.7502574,105.4760548,-1.8338664,0.000019193,0.000019274,5.0116,5.0165
32-XXIV-k,single,KK 083-04-01/085-04-10_011 - 05978 - 010,009_KK 083-04-01-085-04-10_011 - 05978 - 010.jpg,32-XXIV-k.jpg,1932,aerial,luchtfoto,4360,4342,4345.9,4324.0,both,"1,-2",cell,105.2258073,-1.8335717,105.3094110,-1.9172516,0.000019175,0.000019272,5.0162,5.0208
32-XXIV-l,single,KK 083-04-01/085-04-10_012 - 05978 - 011,010_KK 083-04-01-085-04-10_012 - 05978 - 011.jpg,32-XXIV-l.jpg,1932-1933,aerial,luchtfoto,4356,4330,4347.4,4321.5,both,"2,-2",cell,105.3091982,-1.8337239,105.3926964,-1.9172208,0.000019169,0.000019283,5.0099,5.0098
32-XXIV-m,single,KK 083-04-01/085-04-10_013 - 05978 - 012,011_KK 083-04-01-085-04-10_013 - 05978 - 012.jpg,32-XXIV-m.jpg,1934,aerial,luchtfoto,4352,4336,4346.1,4324.7,both,"3,-2",cell,105.3926044,-1.8336565,105.4760508,-1.9172073,0.000019174,0.000019269,5.0068,5.0131
32-XXIV-ni,composite,KK 083-04-01/085-04-10_014 - 05978 - 013,012_KK 083-04-01-085-04-10_014 - 05978 - 013.jpg,32-XXIV-ni.jpg,1932-1933,aerial,luchtfoto,4356,4922,4340.6,4913.1,both,"0,-1;0,-2",bottom,105.1426024,-1.9057392,105.2262314,-2.0006237,0.000019199,0.000019278,5.0177,5.6931
32-XXIV-o,single,KK 083-04-01/085-04-10_015 - 05978 - 014,013_KK 083-04-01-085-04-10_015 - 05978 - 014.jpg,32-XXIV-o.jpg,1932-1933,aerial,luchtfoto,4344,4336,4336.0,4321.1,height,"1,-1",cell,105.2258108,-1.9169817,105.3092979,-2.0006026,0.000019219,0.000019285,5.0092,5.0173
