sheet_id,image_idx,kind,anchor,anchor_evidence,frame_measured,positional_grade,road_fit_resid_m,road_fit_shift_m,old_crop_shift_px,land_km2,sea_fraction,sheet_km2,notes
36-XXVI-k,152,single,cell,n/a (full cell),both,A,167,123,17.4,56.32,0.35,86.6,road fit agrees with the global calibration
36-XXVI-l,153,single,cell,n/a (full cell),both,B,,,9.0,51.75,0.401,86.44,not enough road ink to check independently
36-XXVI-m,154,single,cell,n/a (full cell),both,B,,,4.1,24.1,0.722,86.63,not enough road ink to check independently
36-XXVI-n,155,single,cell,n/a (full cell),both,B,661,1103,18.4,86.76,0.0,86.76,road fit scattered; modern road density likely confused it
36-XXVI-o,156,single,cell,n/a (full cell),both,B,503,1076,3.8,59.23,0.313,86.23,road fit scattered; modern road density likely confused it
36-XXVI-p,157,single,cell,n/a (full cell),both,B,675,678,27.8,72.07,0.166,86.38,road fit scattered; modern road density likely confused it
36-XXVI-q,158,single,cell,n/a (full cell),both,B,296,335,0.0,19.2,0.778,86.37,road fit scattered; modern road density likely confused it
36-XXVII-a,159,single,cell,n/a (full cell),both,B,378,1158,6.6,86.47,0.0,86.47,road fit scattered; modern road density likely confused it
36-XXVII-b,160,single,cell,n/a (full cell),both,B,256,1693,22.4,58.48,0.323,86.34,road fit scattered; modern road density likely confused it
36-XXVII-c,161,single,cell,n/a (full cell),both,B,,,22.3,41.48,0.519,86.31,not enough road ink to check independently
36-XXVII-e,162,single,cell,n/a (full cell),both,B,,,18.0,86.43,0.0,86.43,not enough road ink to check independently
36-XXVII-fg,163,composite,left,roads,both,B,,,47.5,98.94,0.0,98.94,"not enough road ink to check independently; composite sheet, extends 1375 m beyond its cell; anchor confirmed by roads (1840 m margin over the other edge)"
36-XXVII-i,164,single,cell,n/a (full cell),both,B,,,16.1,79.16,0.083,86.34,not enough road ink to check independently
36-XXVII-k,165,single,cell,n/a (full cell),both,B,,,23.7,32.57,0.623,86.45,not enough road ink to check independently
36-XXVII-n,166,single,cell,n/a (full cell),both,B,295,1500,3.8,86.18,0.0,86.18,road fit scattered; modern road density likely confused it
36-XXVII-o,167,single,cell,n/a (full cell),both,A,128,135,34.7,86.27,0.0,86.27,road fit agrees with the global calibration
36-XXVII-p,168,single,cell,n/a (full cell),both,A,128,120,13.0,33.86,0.608,86.33,road fit agrees with the global calibration
36-XXVIII-a,169,single,cell,n/a (full cell),both,B,,,0.0,86.48,0.0,86.48,not enough road ink to check independently
36-XXVIII-bf,170,composite,top,shoreline,both,B,,,18.4,94.88,0.097,105.12,"not enough road ink to check independently; composite sheet, extends 2054 m beyond its cell; anchor confirmed by shoreline (2054 m margin over the other edge)"
36-XXVIII-c,171,single,cell,n/a (full cell),both,B,347,1706,9.7,85.87,0.007,86.49,road fit scattered; modern road density likely confused it
36-XXVIII-dh,172,composite,top,roads,both,B,151,1613,24.2,95.15,0.0,95.15,"road fit scattered; modern road density likely confused it; composite sheet, extends 942 m beyond its cell; anchor confirmed by roads (4493 m margin over the other edge)"
36-XXVIII-e,173,single,cell,n/a (full cell),both,B,612,834,0.0,28.88,0.666,86.41,road fit scattered; modern road density likely confused it
36-XXVIII-g,174,single,cell,n/a (full cell),both,B,,,9.0,19.67,0.773,86.55,not enough road ink to check independently
37-XXVI-in,175,composite,top,shoreline,height,C,213,815,65.8,18.02,0.817,98.32,"road fit scattered; modern road density likely confused it; frame only partly measurable (height); composite sheet, extends 1316 m beyond its cell; anchor confirmed by shoreline (1316 m margin over the other edge)"
