sheet_id,kind,label,source_filename,crop_filename,year,method,instrument,crop_w,crop_h,frame_w,frame_h,frame_measured,cells,anchor,west,north,east,south,deg_per_px_x,deg_per_px_y,span_lon_arcmin,span_lat_arcmin
32-XXIV-l,single,KK 083-04-01/085-04-10_012 - 05978 - 011,010_KK 083-04-01-085-04-10_012 - 05978 - 011.jpg,32-XXIV-l.jpg,1932-1933,aerial,luchtfoto,4356,4330,4347.4,4321.5,both,"2,-2",cell,105.3073980,-1.8331238,105.3908962,-1.9166207,0.000019169,0.000019283,5.0099,5.0098
32-XXIV-m,single,KK 083-04-01/085-04-10_013 - 05978 - 012,011_KK 083-04-01-085-04-10_013 - 05978 - 012.jpg,32-XXIV-m.jpg,1934,aerial,luchtfoto,4352,4336,4346.1,4324.7,both,"3,-2",cell,105.3908042,-1.8330564,105.4742506,-1.9166073,0.000019174,0.000019269,5.0068,5.0131
32-XXIV-ni,composite,KK 083-04-01/085-04-10_014 - 05978 - 013,012_KK 083-04-01-085-04-10_014 - 05978 - 013.jpg,32-XXIV-ni.jpg,1932-1933,aerial,luchtfoto,4356,4922,4340.6,4913.1,both,"0,-1;0,-2",bottom,105.1408022,-1.9051392,105.2244312,-2.0000236,0.000019199,0.000019278,5.0177,5.6931
32-XXIV-o,single,KK 083-04-01/085-04-10_015 - 05978 - 014,013_KK 083-04-01-085-04-10_015 - 05978 - 014.jpg,32-XXIV-o.jpg,1932-1933,aerial,luchtfoto,4344,4336,4336.0,4321.1,height,"1,-1",cell,105.2240106,-1.9163816,105.3074977,-2.0000025,0.000019219,0.000019285,5.0092,5.0173
32-XXIV-p,single,KK 083-04-01/085-04-10_016 - 05978 - 015,014_KK 083-04-01-085-04-10_016 - 05978 - 015.jpg,32-XXIV-p.jpg,1933,aerial,luchtfoto,4348,4338,4340.3,4323.5,both,"2,-1",cell,105.3074266,-1.9164358,105.3909078,-2.0000487,0.000019200,0.000019275,5.0089,5.0168
32-XXIV-q,single,KK 083-04-01/085-04-10_017 - 05978 - 016,015_KK 083-04-01-085-04-10_017 - 05978 - 016.jpg,32-XXIV-q.jpg,1934,aerial,luchtfoto,4348,4338,4332.4,4323.9,both,"3,-1",cell,105.3905983,-1.9163912,105.4742317,-1.9999968,0.000019235,0.000019273,5.0180,5.0163
32-XXV-a,single,KK 083-04-01/085-04-10_018 - 05978 - 017,016_KK 083-04-01-085-04-10_018 - 05978 - 017.jpg,32-XXV-a.jpg,1933,aerial,luchtfoto,4356,4328,4340.3,4322.0,both,"0,0",cell,105.1407523,-1.9998404,105.2243871,-2.0832894,0.000019200,0.000019281,5.0181,5.0069
32-XXV-b,single,KK 083-04-01/085-04-10_019 - 05978 - 018,017_KK 083-04-01-085-04-10_019 - 05978 - 018.jpg,32-XXV-b.jpg,1932-1933,aerial,luchtfoto,4364,4328,4339.9,4314.6,both,"1,0",cell,105.2239723,-1.9996978,105.3077684,-2.0832895,0.000019202,0.000019314,5.0278,5.0155
32-XXV-c,single,KK 083-04-01/085-04-10_020 - 05978 - 019,018_KK 083-04-01-085-04-10_020 - 05978 - 019.jpg,32-XXV-c.jpg,1933,aerial,luchtfoto,4356,4334,4344.6,4326.3,both,"2,0",cell,105.3073941,-1.9998039,105.3909461,-2.0832855,0.000019181,0.000019262,5.0131,5.0089
32-XXV-d,single,KK 083-04-01/085-04-10_021 - 05978 - 020,019_KK 083-04-01-085-04-10_021 - 05978 - 020.jpg,32-XXV-d.jpg,1932-1933,aerial,luchtfoto,4364,4342,4359.1,4326.7,both,"3,0",cell,105.3907851,-1.9996986,105.4742121,-2.0833256,0.000019117,0.000019260,5.0056,5.0176
